host_id,time,磁盘处理的每个读IO的平均时间
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:31:00,0.007287
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:31:00,0.007287
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:31:00,0.007287
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:31:00,0.007287
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:31:00,0.007287
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:31:00,0.007287
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:31:00,0.007287
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:31:00,0.007287
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:31:00,0.007287
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:31:00,0.007287
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:31:00,0.007287
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:31:00,0.007287
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:31:00,0.007287
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:31:00,0.007287
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:36:00,0.018233
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:36:00,0.018233
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:36:00,0.018233
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:36:00,0.018233
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:36:00,0.018233
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:36:00,0.018233
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:36:00,0.018233
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:36:00,0.018233
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:36:00,0.018233
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:36:00,0.018233
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:36:00,0.018233
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:36:00,0.018233
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:41:00,0.021671
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:41:00,0.021671
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:41:00,0.021671
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:41:00,0.021671
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:41:00,0.021671
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:41:00,0.021671
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:41:00,0.021671
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:41:00,0.021671
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:41:00,0.021671
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:41:00,0.021671
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:41:00,0.021671
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:41:00,0.021671
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:46:00,0.0285
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:46:00,0.0285
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:46:00,0.0285
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:46:00,0.0285
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:46:00,0.0285
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:46:00,0.0285
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:46:00,0.0285
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:46:00,0.0285
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:46:00,0.0285
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:46:00,0.0285
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:46:00,0.0285
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:46:00,0.0285
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:46:00,0.0285
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:46:00,0.0285
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:51:00,0
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:51:00,0
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:51:00,0
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:51:00,0
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:51:00,0
