host_id,time,MSMQ
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:03:00,0.986177
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:03:00,0.986177
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:04:00,0.986107
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:05:00,0.986394
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:05:00,0.986394
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:06:00,1.972217
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:07:00,3.943933
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:08:00,1.972359
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:08:00,1.972359
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:09:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:10:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:10:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:11:00,0.986177
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:12:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:12:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:13:00,0.986226
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:14:00,1.972353
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:14:00,1.972353
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:15:00,1.971909
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:16:00,1.972422
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:17:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:17:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:18:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:19:00,0.986006
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:19:00,0.986006
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:20:00,0
